M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=4

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2403 狀態=T
✅ 機身姿態 roll +3.2° pitch -3.8°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 32.4 秒　24 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → PRE_fr(1.2) → PREHOLD_fr(1.5) → LIFTX_fr(1.0) → FWD_fr_1500(1.5) → HOLDX_fr_1500(1.5) → BACKX_fr_1500(1.5) → FWD_fr_1000(1.0) → HOLDX_fr_1000(1.5) → BACKX_fr_1000(1.0) → FWD_fr_500(0.5) → HOLDX_fr_500(1.5) → BACKX_fr_500(0.5) → DROPX_fr(1.0) → POST_fr(1.2) → SETTLE_fr(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 32.4s 在上限 60s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.609 rad        0.64 rad/s    fr2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
        PRE_fr    0.421 rad        0.55 rad/s   fr3_knee_pitch
      LIFTX_fr    0.844 rad        1.33 rad/s   fr3_knee_pitch
   FWD_fr_1500    0.390 rad        0.41 rad/s    fr2_hip_pitch
 BACKX_fr_1500    0.390 rad        0.41 rad/s    fr2_hip_pitch
   FWD_fr_1000    0.390 rad        0.61 rad/s    fr2_hip_pitch
 BACKX_fr_1000    0.390 rad        0.61 rad/s    fr2_hip_pitch
    FWD_fr_500    0.390 rad        1.22 rad/s    fr2_hip_pitch
  BACKX_fr_500    0.390 rad        1.22 rad/s    fr2_hip_pitch
      DROPX_fr    0.844 rad        1.33 rad/s   fr3_knee_pitch
       POST_fr    0.421 rad        0.55 rad/s   fr3_knee_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.609 rad        0.64 rad/s    fr2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +3.2 pitch -3.8）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

★ S3 會抬 ['fr']，指令高度掃 ['80', '150', '220'] mm，抬腿前機身先移 x+30 y+140 mm
  ⚠️ MuJoCo 預測（kp=250、鎖輪、shift(30,100)）：
     指令  80 → 實際  13 mm　　指令 150 → 實際 ~82 mm
     指令 120 → 實際  52 mm　　指令 220 → 實際 ~150 mm
     **損失約 68 mm 且與指令高度無關** —— 是 `STATIC_SAG=32.5` 的兩倍多。
     若實機也是這樣，CPG 基準的 g_c=0.08 在實機上腿幾乎不會離地。

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
  0.00        RAMP_UP      0     0.0000     0.03     br1_hip_roll   +3.2   -3.8
  0.25        RAMP_UP     31     0.0000     0.09     fl1_hip_roll   +3.2   -3.8
  0.50        RAMP_UP     63     0.0000     0.12    fr2_hip_pitch   +3.2   -3.8
  0.75        RAMP_UP     94     0.0000     0.09     bl1_hip_roll   +3.2   -3.8
  1.01        RAMP_UP    126     0.0000     0.11     bl1_hip_roll   +3.2   -3.8
  1.26        RAMP_UP    157     0.0000     0.07    fl2_hip_pitch   +3.2   -3.8
  1.51        RAMP_UP    189     0.0000     0.11   bl3_knee_pitch   +3.2   -3.8
  1.76        RAMP_UP    220     0.0000     0.18    fr2_hip_pitch   +3.2   -3.8
  2.01      GO_crouch    250     0.0001     0.17   bl3_knee_pitch   +3.2   -3.8
  2.27      GO_crouch    250     0.0384     8.68    bl2_hip_pitch   +3.2   -3.9
  2.52      GO_crouch    250     0.0592    13.86   br3_knee_pitch   +3.0   -3.7
  2.77      GO_crouch    250     0.1040    25.59   bl3_knee_pitch   +2.1   -3.4
  3.03      GO_crouch    250     0.1103    26.71   bl3_knee_pitch   +1.4   -2.5
  3.28      GO_crouch    250     0.1004    25.08   fr3_knee_pitch   +1.4   -1.8
  3.54    HOLD_crouch    250     0.0923    23.07   bl3_knee_pitch   +1.0   -1.6
  3.79    HOLD_crouch    250     0.0915    23.03   bl3_knee_pitch   +0.9   -1.6
  4.04    HOLD_crouch    250     0.0915    23.04   bl3_knee_pitch   +0.9   -1.6
  4.29    HOLD_crouch    250     0.0915    23.01   bl3_knee_pitch   +0.9   -1.6
  4.55    HOLD_crouch    250     0.0911    22.81   bl3_knee_pitch   +0.9   -1.5
  4.80    HOLD_crouch    250     0.0911    22.79   bl3_knee_pitch   +0.9   -1.5
  5.05       GO_stand    250     0.0931    23.19   bl3_knee_pitch   +0.9   -1.5
  5.30       GO_stand    250     0.1148    24.29   fr3_knee_pitch   +1.0   -1.5
  5.55       GO_stand    250     0.1233    24.30   fr3_knee_pitch   +1.0   -1.5
  5.81       GO_stand    250     0.1136    20.94   fr3_knee_pitch   +0.9   -1.5
  6.06       GO_stand    250     0.0954    17.59   bl3_knee_pitch   +0.9   -1.5
  6.31       GO_stand    250     0.0729    14.91   fr3_knee_pitch   +0.9   -1.4
  6.57     HOLD_stand    250     0.0609    15.38   fr3_knee_pitch   +1.0   -1.4
  6.82     HOLD_stand    250     0.0609    15.29   fr3_knee_pitch   +1.0   -1.4
  7.08     HOLD_stand    250     0.0609    15.27   fr3_knee_pitch   +1.0   -1.4
  7.33     HOLD_stand    250     0.0601    15.16   fr3_knee_pitch   +1.0   -1.5
  7.58     HOLD_stand    250     0.0601    15.12   fr3_knee_pitch   +1.0   -1.5
  7.83     HOLD_stand    250     0.0601    15.10   fr3_knee_pitch   +0.9   -1.5
  8.08     HOLD_stand    250     0.0601    15.18   fr3_knee_pitch   +0.9   -1.5
  8.34     HOLD_stand    250     0.0601    15.19   fr3_knee_pitch   +0.9   -1.5
  8.59         PRE_fr    250     0.0653    16.15   fr3_knee_pitch   +0.9   -1.5
  8.84         PRE_fr    250     0.0760    15.79   fr3_knee_pitch   +1.7   -1.4
  9.09         PRE_fr    250     0.0706    13.75   fr3_knee_pitch   +2.5   -1.3
  9.35         PRE_fr    250     0.0617    14.71   bl3_knee_pitch   +3.4   -1.2
  9.60         PRE_fr    250     0.0644    16.35   bl3_knee_pitch   +3.8   -1.3
